proposalId,originName,destinationName,wagonName,departureDateTime,arrivalDateTime,cost,fullPrice,isCompartment,compartmentCapacity,hasAirCondition,hasMedia,hasMedia,companyName,hasDiscount,isSpecialOffer,hasFreeFood,hasFoodOffer,isCharter,wagonClass,isFamilyCoupe,isTransitCar
11669979463,تهران,مشهد,4ستاره4تخته سپهر,2024-04-28T18:10:00,2024-04-29T05:30:00,3760000,3760000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979616,تهران,مشهد,4 ستاره اتوبوسي صبا,2024-04-29T07:05:00,2024-04-29T19:15:00,2003500,2003500,False,4,True,True,True,رجا,False,False,False,False,False,S,False,False
11669979623,تهران,مشهد,5 ستاره اكونومي پلاس,2024-04-29T18:55:00,2024-04-30T06:05:00,7920000,7920000,True,4,True,True,True,نورالرضا,False,False,False,False,False,EC,False,False
11669979627,تهران,مشهد,5 ستاره اكونومي پلاس,2024-04-29T20:55:00,2024-04-30T07:45:00,7920000,7920000,True,4,True,True,True,نورالرضا,False,False,False,False,False,EC,False,False
11669979635,تهران,مشهد,5 ستاره اکونومي پلاس ,2024-04-29T23:50:00,2024-04-30T10:55:00,7920000,7920000,True,4,True,True,True,نورالرضا,False,False,False,False,False,EC,False,False
11669979618,تهران,مشهد,3 ستاره 6 تخته پارسي ,2024-04-29T13:45:00,2024-04-30T00:45:00,2638500,2638500,True,6,True,False,False,مهتاب سير جم,False,False,False,False,False,EL,False,False
11669979632,تهران,مشهد,سه ستاره 6 تخته مهديس ,2024-04-29T22:55:00,2024-04-30T09:35:00,2985000,2985000,True,6,True,False,False,مهتاب سير جم,False,False,False,False,False,EL,False,False
11669979621,تهران,مشهد,5 ستاره اكونومي پلاس زمرد,2024-04-29T17:10:00,2024-04-30T04:25:00,7920000,7920000,True,4,True,True,True,ریل سیر کوثر,False,False,False,False,False,EC,False,False
11669979622,تهران,مشهد,3 ستاره 6 تخته اپتيما,2024-04-29T18:00:00,2024-04-30T05:05:00,2697000,2697000,True,6,True,False,False,ریل سیر کوثر,False,False,False,False,False,EL,False,False
11669979628,تهران,مشهد,4 ستاره 4 تخته غزال ,2024-04-29T21:30:00,2024-04-30T08:15:00,3922000,3922000,True,4,True,True,True,بن ريل,False,False,False,False,False,EC,False,False
11669979629,تهران,مشهد,4 ستاره غزال با پذيرايي عصرانه ,2024-04-29T21:30:00,2024-04-30T08:15:00,4918000,4918000,True,4,True,True,True,بن ريل,False,False,False,False,False,V,False,False
11669979614,تهران,مشهد,4 ستاره 4 تخته غدير,2024-04-29T01:50:00,2024-04-29T12:40:00,3920500,3920500,True,4,True,True,True,ريل ترابر سبا,False,False,False,False,False,EC,False,False
11669979631,تهران,مشهد,4 ستاره غزال,2024-04-29T22:10:00,2024-04-30T08:55:00,3814500,3814500,True,4,True,True,True,پارس لاریم,False,False,False,False,False,EC,False,False
11669979624,تهران,مشهد,4 ستاره 4 تخته ارگ,2024-04-29T19:15:00,2024-04-30T06:30:00,4018500,4018500,True,4,True,True,True,جوپار,False,False,False,False,False,EC,False,False
11669979630,تهران,مشهد,5ستاره اكونومي پلاس فدك,2024-04-29T21:50:00,2024-04-30T08:35:00,7920000,7920000,True,4,True,True,True, فدک,False,False,False,False,False,V,False,False
11669979615,تهران,مشهد,3ستاره6تخته پارسي,2024-04-29T03:52:00,2024-04-29T15:20:00,2230500,2230500,True,6,True,False,False,رجا,False,False,False,False,False,EL,False,False
11669979617,تهران,مشهد,4 ستاره اتوبوسي صبا,2024-04-29T07:05:00,2024-04-29T19:15:00,2003500,2003500,False,4,True,True,True,رجا,False,False,False,False,False,S,False,False
11669979619,تهران,مشهد,4ستاره 4تخته نوين,2024-04-29T16:55:00,2024-04-30T03:40:00,4410000,4410000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979620,تهران,مشهد,4 ستاره نوين با هتل اختياري,2024-04-29T16:55:00,2024-04-30T03:40:00,4410000,4410000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979625,تهران,مشهد,5 ستاره زندگي با پذيرايي و شام,2024-04-29T19:50:00,2024-04-30T07:00:00,7920000,7920000,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979626,تهران,مشهد,4ستاره 4تخته آهو,2024-04-29T20:10:00,2024-04-30T07:15:00,4950500,4950500,True,4,True,True,True,رجا,False,False,False,False,False,EC,False,False
11669979633,تهران,مشهد,4ستاره اتوبوسي صبا,2024-04-29T23:25:00,2024-04-30T10:20:00,2003500,2003500,False,4,True,True,True,رجا,False,False,False,False,False,S,False,False
