id,name,type,province,city,lat,long,region,placeType,buildingSize,bedrooms,bathrooms,iranianToilets,toilets,reservation_type,reviewsCount,reviewsScore,baseCapacity,extraCapacity,mainPrice,discount,finalPrice
640dbecba88e29001b16179a,اجاره آپارتمان دوخوابه بعثت ۱,apartment,فارس,شیراز,29.619962000726964,52.496031895279884,city,personalRoom,100.0,2.0,1.0,1.0,0.0,preApprove,4.0,5.0,4.0,4.0,16000000.0,0.0,16000000.0
658bc971a5f329001b88075b,اجاره آپارتمان سه خوابه رز 5,apartment,فارس,شیراز,29.638813,52.474945,city,personalRoom,170.0,3.0,1.0,1.0,1.0,preApprove,10.0,4.4,6.0,4.0,30000000.0,20.0,24000000.0
63f1bdcfa7cd14001b81f875,اجاره آپارتمان دوخوابه هجرت - واحد 105,apartment,فارس,شیراز,29.621438542363094,52.548404037952416,city,personalRoom,110.0,2.0,1.0,1.0,1.0,instant,14.0,4.4,4.0,2.0,18500000.0,0.0,18500000.0
658bcaa94f9d60001b9d1d12,اجاره آپارتمان سه خوابه رز 7,apartment,فارس,شیراز,29.638813,52.474945,city,personalRoom,170.0,3.0,1.0,1.0,1.0,preApprove,9.0,4.3,6.0,4.0,35000000.0,20.0,28000000.0
64169cfe765437001deb6f84,آپارتمان دوخوابه ساحل آرامش,apartment,فارس,شیراز,29.572828386677163,52.565307319164276,city,personalRoom,120.0,2.0,1.0,1.0,1.0,instant,24.0,4.6,4.0,1.0,20000000.0,0.0,20000000.0
65ec8a717ca8b4001b67695b,اجاره آپارتمان یک خوابه درفام واحد 401,apartment,فارس,شیراز,29.62194655395614,52.53787938505411,city,personalRoom,70.0,1.0,1.0,1.0,1.0,preApprove,3.0,4.0,3.0,2.0,18000000.0,0.0,18000000.0
65b881a4d9cb1e001b43ccc8,اجاره آپارتمان یک خوابه آنام 1,apartment,فارس,شیراز,29.624182590602505,52.551684714853764,city,personalRoom,100.0,1.0,1.0,1.0,1.0,preApprove,0.0,0.0,3.0,3.0,17000000.0,0.0,17000000.0
63fdbe05c0b455001c77d0aa,اجاره آپارتمان دوخوابه كاج ٢,apartment,فارس,شیراز,29.682141,52.464387,city,personalRoom,120.0,2.0,1.0,1.0,1.0,preApprove,10.0,4.5,4.0,2.0,13000000.0,10.0,11700000.0
641b127cd350c4001b4103f7,اجاره آپارتمان دوخوابه هجرت - واحد 107,apartment,فارس,شیراز,29.621438542363094,52.548404037952416,city,personalRoom,110.0,2.0,1.0,1.0,1.0,instant,54.0,4.3,4.0,2.0,20000000.0,0.0,20000000.0
6401de5e933a5d001bad8c38,اجاره آپارتمان یک خوابه آیدین,apartment,فارس,شیراز,29.61005497193278,52.464674189686775,city,personalRoom,86.0,1.0,1.0,1.0,0.0,instant,12.0,4.4,4.0,2.0,13000000.0,5.0,12350000.0
64953f4ced4725001b604b0a,اجاره آپارتمان یک خوابه مرتضوی نواب,apartment,تهران,تهران,35.68323466911057,51.382651962339885,city,personalRoom,40.0,1.0,1.0,1.0,0.0,preApprove,109.0,4.5,2.0,0.0,9900000.0,0.0,9900000.0
6416a0b4765437001deb7013,اجاره آپارتمان دوخوابه ویانا,apartment,فارس,شیراز,29.68796886520178,52.456219722332776,city,personalRoom,70.0,2.0,1.0,1.0,0.0,instant,0.0,0.0,4.0,1.0,20000000.0,0.0,20000000.0
63e21d52e45f81001b482290,اجاره آپارتمان سه خوابه قصر 9,apartment,فارس,شیراز,29.625868620353234,52.53670524805784,city,personalRoom,171.0,3.0,2.0,1.0,1.0,instant,17.0,4.2,6.0,0.0,25000000.0,0.0,25000000.0
65abd3225ecb74001ba7b0f7,اجاره آپارتمان چهارخوابه پاسداران - واحد 1,apartment,فارس,شیراز,29.621799076385148,52.4847823753953,city,personalRoom,180.0,4.0,1.0,1.0,1.0,preApprove,11.0,4.2,7.0,2.0,22000000.0,0.0,22000000.0
640c4d3a56fe57001d9682fd,اجاره آپارتمان منزل دربست ۱,apartment,فارس,شیراز,29.62800110884204,52.48324614018202,city,personalRoom,100.0,2.0,1.0,1.0,1.0,preApprove,8.0,4.5,4.0,4.0,16000000.0,0.0,16000000.0
65c5d67bab388b001cb38d72,اجاره آپارتمان یک خوابه بلوار نارنجستان,apartment,فارس,شیراز,29.63145577845846,52.593476213514805,city,personalRoom,150.0,1.0,1.0,1.0,0.0,preApprove,3.0,4.3,3.0,5.0,12000000.0,0.0,12000000.0
6488c1b7e07a3b001b93f751,اجاره آپارتمان یک خوابه غزال ۱ - منیریه,apartment,تهران,تهران,35.68093072864557,51.396811343729496,city,personalRoom,50.0,1.0,1.0,1.0,0.0,instant,95.0,4.6,2.0,1.0,11700000.0,0.0,11700000.0
64194f605d49d7001b4a20aa,اجاره آپارتمان دوخوابه عرفان 3,apartment,فارس,شیراز,29.61617494852059,52.57447209209204,city,personalRoom,100.0,2.0,1.0,1.0,1.0,instant,16.0,4.9,4.0,2.0,20000000.0,0.0,20000000.0
65dc743c9e65cb001ba1535f,اجاره آپارتمان دوخوابه ستارخان ۱,apartment,فارس,شیراز,29.626387684506515,52.489196956157684,city,personalRoom,170.0,2.0,1.0,1.0,1.0,preApprove,0.0,0.0,4.0,4.0,30000000.0,0.0,30000000.0
